Definicao = enzo-teste
LayOut = E120IPD.NUMPED,0,ZZZZZZZ9
LayOut = E120IPD.CODPRO,2,14
LayOut = E075PRO.DESPRO,2,100
LayOut = vaDesCor,2,9
LayOut = E120IPD.QTDABE,0,ZZZ.ZZZ.ZZ9
LayOut = vdDatIni,1,DD/MM/YYYY
LayOut = vdDatFim,1,DD/MM/YYYY
LayOut = vaSitOp,2,10
LayOut = Curva ABC,8,1  
LayOut = Qtd.Registros,9,ZZZ.ZZ9
Resumo = E120IPD.QTDABE
Resumo = Qtd.Registros
Dimensao = Curva ABC   
Dimensao = E120IPD.NUMPED
Dimensao = E120IPD.CODPRO
Dimensao = E075PRO.DESPRO
Dimensao = vaDesCor
Dimensao = vdDatIni
Dimensao = vdDatFim
Dimensao = vaSitOp
Separador = .
Dados
719091;810014047;PRATELEIRA CURVA 2.2;VERDE;240;27/05/2025;30/05/2025;PROGRAMADO;
719074;810014044;COMPLEMENTO LATERAL SAO PAULO 2.2;ROSA;160;27/05/2025;30/05/2025;PROGRAMADO;
719076;810001027;ESTANTE NEW BAHIA;AZUL;400;27/05/2025;30/05/2025;PROGRAMADO;
717269;810002036;HOME GUARARAPES;ROSA;560;27/05/2025;30/05/2025;PROGRAMADO;
719080;810006049;PAINEL HOME MARAGOGI;AMARELO;160;28/05/2025;02/06/2025;PROGRAMADO;
719080;;;.;480;28/05/2025;02/06/2025;PROGRAMADO;
719080;;;.;400;28/05/2025;02/06/2025;PROGRAMADO;
719082;810014046;PRATELEIRA CURVA 1.4;VERDE;240;28/05/2025;02/06/2025;PROGRAMADO;
720465;810002046;HOME ELDORADO 2.0 + REFORCO EMBALAGEM;BRANCO;12;28/05/2025;02/06/2025;PROGRAMADO;
720465;;;.;29;28/05/2025;02/06/2025;PROGRAMADO;
720466;810002040;HOME GUARARAPES + REFORCO EMBALAGEM;BRANCO;16;28/05/2025;02/06/2025;PROGRAMADO;
720467;810006076;PAINEL HOME ALVORADA + REFORCO EMBALAGEM;BRANCO;102;28/05/2025;02/06/2025;PROGRAMADO;
719085;810003078;RACK ISTAMBUL;ROSA;720;28/05/2025;02/06/2025;PROGRAMADO;
719086;810001023;ESTANTE NEW LARA;AZUL;640;29/05/2025;03/06/2025;PROGRAMADO;
719087;810013015;CABECEIRA LARANJEIRAS 2.4;AMARELO;160;29/05/2025;03/06/2025;PROGRAMADO;
719087;;;.;240;29/05/2025;03/06/2025;PROGRAMADO;
719087;;;.;320;29/05/2025;03/06/2025;PROGRAMADO;
719088;810006054;PAINEL HOME ARARUNA;VERDE;320;29/05/2025;03/06/2025;PROGRAMADO;
719089;810014048;NICHO CURVO 1.4;ROSA;240;30/05/2025;04/06/2025;PROGRAMADO;
714585;810003088;RACK SANTORINI;AMARELO;640;30/05/2025;04/06/2025;PROGRAMADO;
719067;810002036;HOME GUARARAPES;AZUL;640;30/05/2025;04/06/2025;PROGRAMADO;
714586;810005021;APARADOR MONACO;VERDE;240;02/06/2025;05/06/2025;PROGRAMADO;
714589;810004014;MESA DE CENTRO MONACO;ROSA;160;02/06/2025;05/06/2025;PROGRAMADO;
719090;810002049;HOME NAPOLI;AMARELO;640;02/06/2025;05/06/2025;PROGRAMADO;
719070;810014049;NICHO CURVO 2.2;AZUL;240;02/06/2025;05/06/2025;PROGRAMADO;
717275;810002050;HOME ELDORADO 2.0 JAMAR;AMARELO;160;02/06/2025;05/06/2025;PROGRAMADO;
717275;;;.;160;02/06/2025;05/06/2025;PROGRAMADO;
720833;810014051;BUFFET EVORA 1.6;VERDE;720;03/06/2025;06/06/2025;PROGRAMADO;
720834;810003060;RACK ESMERALDA;ROSA;1200;03/06/2025;06/06/2025;PROGRAMADO;
720835;810006099;PAINEL HOME HAVANA;AZUL;560;03/06/2025;06/06/2025;PROGRAMADO;
720836;810005014;BUFFET 1.4 LUCCA PARTE 3;AMARELO;640;04/06/2025;09/06/2025;PROGRAMADO;
720837;810012001;SUPORTE DE TV UNIVERSAL 14 A 71 POLEGADAS + ADAPTADOR;BRANCO;300;04/06/2025;09/06/2025;PROGRAMADO;
720838;810006093;PAINEL HOME LUGANO;VERDE;320;04/06/2025;09/06/2025;PROGRAMADO;
720839;810015073;AEREO 1.2M ALLURE;ROSA;400;04/06/2025;09/06/2025;PROGRAMADO;
720840;810002042;HOME ELDORADO 2.0;AZUL;720;04/06/2025;09/06/2025;PROGRAMADO;
720841;810006097;PAINEL GENOVA 2.0;AMARELO;720;05/06/2025;10/06/2025;PROGRAMADO;
720843;810005012;BUFFET 1.4 LUCCA PARTE 2;VERDE;160;05/06/2025;10/06/2025;PROGRAMADO;
720843;;;.;560;05/06/2025;10/06/2025;PROGRAMADO;
720844;810012019;KIT FITA LED COB 9W BRANCA QUENTE 1 FITA (1150MM) - RACK SANTORINI;BRANCO;300;05/06/2025;10/06/2025;PROGRAMADO;
715952;810005020;APARADOR LISBOA;VERDE;60;05/06/2025;10/06/2025;PROGRAMADO;
715952;;;.;60;05/06/2025;10/06/2025;PROGRAMADO;
715953;810004013;MESA DE CENTRO LISBOA;ROSA;60;05/06/2025;10/06/2025;PROGRAMADO;
719069;810014032;MODULO RIPADO 0.4;AZUL;640;05/06/2025;10/06/2025;PROGRAMADO;
719071;810006068;PAINEL RIPADO MODULAR 1.4;VERDE;400;05/06/2025;10/06/2025;PROGRAMADO;
720845;810006063;PAINEL HOME ALVORADA;ROSA;1200;05/06/2025;10/06/2025;PROGRAMADO;
720846;810015062;TAMPO BALCAO 1.2M SELENE;AZUL;240;06/06/2025;11/06/2025;PROGRAMADO;
720847;810015063;AEREO 1.2M SELENE;AMARELO;400;06/06/2025;11/06/2025;PROGRAMADO;
720848;810006059;PAINEL EXTENSIVEL TULUM;VERDE;320;06/06/2025;11/06/2025;PROGRAMADO;
720848;;;.;560;06/06/2025;11/06/2025;PROGRAMADO;
720849;810012016;KIT FITA LED LUZ BRANCA QUENTE 1 FITA (1600MM);BRANCO;500;06/06/2025;11/06/2025;PROGRAMADO;
720850;810003089;RACK DUBAI 1.8;ROSA;720;06/06/2025;11/06/2025;PROGRAMADO;
720851;810003053;RACK COLORADO;AZUL;640;06/06/2025;11/06/2025;PROGRAMADO;
720852;810006092;PAINEL HOME FRIBURGO;AMARELO;880;09/06/2025;12/06/2025;PROGRAMADO;
720853;810015059;AEREO DUPLO 0.8M SELENE;VERDE;640;09/06/2025;12/06/2025;PROGRAMADO;
720854;810012003;KIT 6 PES PLASTICO RETANGULAR TABACO 100X50X40 ABA U 78X28;BRANCO;100;09/06/2025;12/06/2025;PROGRAMADO;
720855;810003065;RACK CRONOS 1.8;ROSA;640;09/06/2025;12/06/2025;PROGRAMADO;
720856;810002043;HOME VIENA;AZUL;160;09/06/2025;12/06/2025;PROGRAMADO;
720856;;;.;320;09/06/2025;12/06/2025;PROGRAMADO;
720857;810014031;PRATELEIRA 2.2;AMARELO;400;10/06/2025;13/06/2025;PROGRAMADO;
720858;810014012;MULTIUSO RETRO MARSALA  PARTE 2;VERDE;1200;10/06/2025;13/06/2025;PROGRAMADO;
720859;810005011;BUFFET RETRO 1.4 PARTE 1;ROSA;160;17/06/2025;23/06/2025;PROGRAMADO;
720859;;;.;640;17/06/2025;23/06/2025;PROGRAMADO;
720860;810005021;APARADOR MONACO;AZUL;240;03/07/2025;07/07/2025;PROGRAMADO;
720860;;;.;160;03/07/2025;07/07/2025;PROGRAMADO;
720861;810004014;MESA DE CENTRO MONACO;AMARELO;240;03/07/2025;07/07/2025;PROGRAMADO;
720861;;;.;80;03/07/2025;07/07/2025;PROGRAMADO;
